,Bacteria,Drug,MIC_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MolWt,,,
1114,Shigella sonnei,Trimethoprim,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,phenol ethers,290.323,,,
1115,Salmonella typhimurium,Amikacin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organooxygen compounds,585.608,,,
1116,Salmonella typhimurium,Gentamicin,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Aminoglycoside ,477.603,,,
1117,Salmonella typhimurium,Kanamycin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organooxygen compounds,484.503,,,
1119,Salmonella typhimurium,Ampicillin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organoheterocyclic compounds,349.412,,,
1120,Salmonella typhimurium,Ceftazidime,0.03,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Lactams,546.587,,,
1121,Salmonella typhimurium,Ceftriaxone,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Lactams,554.592,,,
1122,Salmonella typhimurium,Ciprofloxacin,0.06,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Quinolines,331.347,,,
1123,Salmonella typhimurium,Doxycycline,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Tetracyclines,462.455,,,
1124,Salmonella typhimurium,Tetracycline,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Tetracyclines,444.44,,,
1125,Salmonella typhimurium,Chloramphenicol,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Benzene derivatives,323.132,,,
1126,Salmonella typhimurium,Trimethoprim,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,phenol ethers,290.323,,,
1127,Staphylococcus aureus,Amikacin,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,585.608,,,
1128,Staphylococcus aureus,Gentamicin,0.125,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Aminoglycoside ,477.603,,,
1129,Staphylococcus aureus,Kanamycin,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503,,,
1130,Staphylococcus aureus,Amoxicillin,2048,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,365.411,,,
1131,Staphylococcus aureus,Ampicillin,128,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412,,,
1132,Staphylococcus aureus,Penicillin,512,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,372.487,,,
1133,Staphylococcus aureus,Ceftazidime,0.06,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,546.587,,,
1134,Staphylococcus aureus,Ceftriaxone,0.125,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,554.592,,,
1135,Staphylococcus aureus,Vancomycin,512,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,carboxylic acids,1449.271,,,
1136,Staphylococcus aureus,Ciprofloxacin,0.015,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Quinolines,331.347,,,
1137,Staphylococcus aureus,Doxycycline,4,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,462.455,,,
1138,Staphylococcus aureus,Tetracycline,2,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,444.44,,,
1139,Staphylococcus aureus,Chloramphenicol,512,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Benzene derivatives,323.132,,,
1140,Staphylococcus aureus,Trimethoprim,0.25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,phenol ethers,290.323,,,
1141,Streptococcus mutans,Ampicillin,64,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Organoheterocyclic compounds,349.412,,,
1142,Streptococcus mutans,Penicillin,128,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Carboxylic acids and derivatives,372.487,,,
1143,Streptococcus mutans,Ceftazidime,16,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Lactams,546.587,,,
1144,Streptococcus mutans,Ceftriaxone,2,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Lactams,554.592,,,
1145,Streptococcus mutans,Vancomycin,4,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,carboxylic acids,1449.271,,,
1146,Streptococcus mutans,Tetracycline,1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Tetracyclines,444.44,,,
1147,Streptococcus mutans,Chloramphenicol,2,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Benzene derivatives,323.132,,,
1148,Streptococcus mutans,Trimethoprim,2,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,phenol ethers,290.323,,,
1205,Escherichia coli,Amikacin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,585.608,,,
1206,Escherichia coli,Gentamicin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Aminoglycoside ,477.603,,,
1207,Escherichia coli,Kanamycin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503,,,
1208,Escherichia coli,Amoxicillin,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,365.411,,,
1209,Escherichia coli,Ampicillin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412,,,
1211,Escherichia coli,Ceftazidime,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,546.587,,,
1212,Escherichia coli,Ceftriaxone,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,554.592,,,
1214,Escherichia coli,Ciprofloxacin,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Quinolines,331.347,,,
1215,Escherichia coli,Doxycycline,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,462.455,,,
1216,Escherichia coli,Tetracycline,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,444.44,,,
1217,Escherichia coli,Chloramphenicol,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Benzene derivatives,323.132,,,
1218,Escherichia coli,Trimethoprim,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,phenol ethers,290.323,,,
1219,Acinetobacter baumannii,Amikacin,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,585.608,,,
1220,Acinetobacter baumannii,Gentamicin,512,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Aminoglycoside ,477.603,,,
1222,Acinetobacter baumannii,Amoxicillin,4095,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,365.411,,,
1223,Acinetobacter baumannii,Ampicillin,4095,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organoheterocyclic compounds,349.412,,,
1225,Acinetobacter baumannii,Ceftazidime,512,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,546.587,,,
1226,Acinetobacter baumannii,Ceftriaxone,2048,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,554.592,,,
1228,Acinetobacter baumannii,Ciprofloxacin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Quinolines,331.347,,,
1229,Acinetobacter baumannii,Doxycycline,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,462.455,,,
1230,Acinetobacter baumannii,Tetracycline,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,444.44,,,
1232,Acinetobacter baumannii,Trimethoprim,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,phenol ethers,290.323,,,
1233,Klebsiella aerogenes,Amikacin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Organooxygen compounds,585.608,,,
1234,Klebsiella aerogenes,Gentamicin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Aminoglycoside ,477.603,,,
1235,Klebsiella aerogenes,Kanamycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Organooxygen compounds,484.503,,,
1236,Klebsiella aerogenes,Amoxicillin,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Lactams,365.411,,,
1237,Klebsiella aerogenes,Ampicillin,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Organoheterocyclic compounds,349.412,,,
1239,Klebsiella aerogenes,Ceftazidime,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Lactams,546.587,,,
1240,Klebsiella aerogenes,Ceftriaxone,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Lactams,554.592,,,
1242,Klebsiella aerogenes,Ciprofloxacin,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Quinolines,331.347,,,
1243,Klebsiella aerogenes,Doxycycline,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Tetracyclines,462.455,,,
1244,Klebsiella aerogenes,Tetracycline,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Tetracyclines,444.44,,,
1245,Klebsiella aerogenes,Chloramphenicol,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Benzene derivatives,323.132,,,
1246,Klebsiella aerogenes,Trimethoprim,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,phenol ethers,290.323,,,
1247,Pseudomonas aeruginosa,Amikacin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608,,,
1248,Pseudomonas aeruginosa,Gentamicin,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603,,,
1249,Pseudomonas aeruginosa,Kanamycin,512,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,484.503,,,
1253,Pseudomonas aeruginosa,Ceftazidime,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
1254,Pseudomonas aeruginosa,Ceftriaxone,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,554.592,,,
1256,Pseudomonas aeruginosa,Ciprofloxacin,0.06,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
1261,Shigella sonnei,Amikacin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Organooxygen compounds,585.608,,,
1262,Shigella sonnei,Gentamicin,0.06,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Aminoglycoside ,477.603,,,
1263,Shigella sonnei,Kanamycin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Organooxygen compounds,484.503,,,
1264,Shigella sonnei,Amoxicillin,2048,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Lactams,365.411,,,
1265,Shigella sonnei,Ampicillin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Organoheterocyclic compounds,349.412,,,
1267,Shigella sonnei,Ceftazidime,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Lactams,546.587,,,
1268,Shigella sonnei,Ceftriaxone,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Lactams,554.592,,,
1270,Shigella sonnei,Ciprofloxacin,0.015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Quinolines,331.347,,,
1271,Shigella sonnei,Doxycycline,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Tetracyclines,462.455,,,
1272,Shigella sonnei,Tetracycline,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Tetracyclines,444.44,,,
1273,Shigella sonnei,Chloramphenicol,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Benzene derivatives,323.132,,,
1274,Shigella sonnei,Trimethoprim,4096,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,phenol ethers,290.323,,,
1275,Salmonella typhimurium,Amikacin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organooxygen compounds,585.608,,,
1276,Salmonella typhimurium,Gentamicin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Aminoglycoside ,477.603,,,
1277,Salmonella typhimurium,Kanamycin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organooxygen compounds,484.503,,,
1279,Salmonella typhimurium,Ampicillin,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organoheterocyclic compounds,349.412,,,
1281,Salmonella typhimurium,Ceftazidime,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Lactams,546.587,,,
1282,Salmonella typhimurium,Ceftriaxone,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Lactams,554.592,,,
1284,Salmonella typhimurium,Ciprofloxacin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Quinolines,331.347,,,
1285,Salmonella typhimurium,Doxycycline,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Tetracyclines,462.455,,,
1286,Salmonella typhimurium,Tetracycline,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Tetracyclines,444.44,,,
1287,Salmonella typhimurium,Chloramphenicol,128,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Benzene derivatives,323.132,,,
1288,Salmonella typhimurium,Trimethoprim,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,phenol ethers,290.323,,,
1289,Staphylococcus aureus,Amikacin,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,585.608,,,
1290,Staphylococcus aureus,Gentamicin,0.125,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Aminoglycoside ,477.603,,,
1291,Staphylococcus aureus,Kanamycin,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503,,,
1292,Staphylococcus aureus,Amoxicillin,2048,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,365.411,,,
1293,Staphylococcus aureus,Ampicillin,512,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412,,,
1294,Staphylococcus aureus,Penicillin,4096,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,372.487,,,
1295,Staphylococcus aureus,Ceftazidime,0.5,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,546.587,,,
1296,Staphylococcus aureus,Ceftriaxone,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,554.592,,,
1297,Staphylococcus aureus,Vancomycin,512,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,carboxylic acids,1449.271,,,
1298,Staphylococcus aureus,Ciprofloxacin,0.015,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Quinolines,331.347,,,
1299,Staphylococcus aureus,Doxycycline,32,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,462.455,,,
1300,Staphylococcus aureus,Tetracycline,16,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,444.44,,,
1301,Staphylococcus aureus,Chloramphenicol,4096,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Benzene derivatives,323.132,,,
1302,Staphylococcus aureus,Trimethoprim,2,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,phenol ethers,290.323,,,
1307,Streptococcus mutans,Ampicillin,64,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Organoheterocyclic compounds,349.412,,,
1308,Streptococcus mutans,Penicillin,128,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Carboxylic acids and derivatives,372.487,,,
1309,Streptococcus mutans,Ceftazidime,16,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Lactams,546.587,,,
1310,Streptococcus mutans,Ceftriaxone,2,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Lactams,554.592,,,
1311,Streptococcus mutans,Vancomycin,4,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,carboxylic acids,1449.271,,,
1314,Streptococcus mutans,Tetracycline,1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Tetracyclines,444.44,,,
1315,Streptococcus mutans,Chloramphenicol,4,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Benzene derivatives,323.132,,,
1316,Streptococcus mutans,Trimethoprim,4,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,phenol ethers,290.323,,,
1320,Acinetobacter baumannii,Ampicillin,4096,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organoheterocyclic compounds,349.412,,,
1321,Acinetobacter baumannii,Amoxicillin,2048,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,365.411,,,
