,Bacteria,Drug,Drug_dose (μg/disk),ZOI_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MolWt
454,Pseudomonas aeruginosa,Ceftriaxone,500,18.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,554.592
455,Pseudomonas aeruginosa,Cefotaxime,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,477.456
456,Pseudomonas aeruginosa,Polymyxin,500,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,NC,2392.971
457,Pseudomonas aeruginosa,Vancomycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,carboxylic acids,1449.271
458,Pseudomonas aeruginosa,Erythromycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,733.937
459,Pseudomonas aeruginosa,Nalidixic acid,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Diazanaphthalenes,232.239
460,Pseudomonas aeruginosa,Rifampicin,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Macrolactams,822.953
461,Pseudomonas aeruginosa,Tetracycline,500,19,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Tetracyclines,444.44
462,Pseudomonas aeruginosa,Doxycycline,500,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Tetracyclines,462.455
463,Pseudomonas aeruginosa,Chloramphenicol,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Benzene derivatives,323.132
464,Pseudomonas aeruginosa,Nitrofurantoin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Azolidines,238.159
465,Pseudomonas aeruginosa,Trimethoprim,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,phenol ethers,290.323
466,Salmonella typhi,Amikacin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Organooxygen compounds,585.608
467,Salmonella typhi,Gentamicin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Aminoglycoside ,477.603
468,Salmonella typhi,Kanamycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Organooxygen compounds,484.503
469,Salmonella typhi,Streptomycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Organooxygen compounds,581.58
470,Salmonella typhi,Amoxicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Lactams,365.411
471,Salmonella typhi,Ampicillin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Organoheterocyclic compounds,349.412
472,Salmonella typhi,Penicillin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Carboxylic acids and derivatives,372.487
473,Salmonella typhi,Piperacillin,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Carboxylic acids and derivatives,517.564
474,Salmonella typhi,Faropenem,500,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Carboxylic acids and derivatives,285.321
475,Salmonella typhi,Ceftazidime,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Lactams,546.587
476,Salmonella typhi,Ceftriaxone,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Lactams,554.592
477,Salmonella typhi,Cefotaxime,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Lactams,477.456
478,Salmonella typhi,Polymyxin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,NC,2392.971
479,Salmonella typhi,Vancomycin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,carboxylic acids,1449.271
480,Salmonella typhi,Erythromycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Organooxygen compounds,733.937
481,Salmonella typhi,Nalidixic acid,500,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Diazanaphthalenes,232.239
482,Salmonella typhi,Rifampicin,500,21,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Macrolactams,822.953
483,Salmonella typhi,Tetracycline,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Tetracyclines,444.44
484,Salmonella typhi,Doxycycline,500,21,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Tetracyclines,462.455
485,Salmonella typhi,Chloramphenicol,500,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Benzene derivatives,323.132
486,Salmonella typhi,Nitrofurantoin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Azolidines,238.159
487,Salmonella typhi,Trimethoprim,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,phenol ethers,290.323
488,Serratia odorifera,Amikacin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Organooxygen compounds,585.608
489,Serratia odorifera,Gentamicin,500,26,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Aminoglycoside ,477.603
490,Serratia odorifera,Kanamycin,500,26,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Organooxygen compounds,484.503
491,Serratia odorifera,Streptomycin,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Organooxygen compounds,581.58
492,Serratia odorifera,Amoxicillin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Lactams,365.411
493,Serratia odorifera,Ampicillin,500,27,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Organoheterocyclic compounds,349.412
494,Serratia odorifera,Penicillin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Carboxylic acids and derivatives,372.487
495,Serratia odorifera,Piperacillin,500,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Carboxylic acids and derivatives,517.564
496,Serratia odorifera,Faropenem,500,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Carboxylic acids and derivatives,285.321
497,Serratia odorifera,Ceftazidime,500,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Lactams,546.587
498,Serratia odorifera,Ceftriaxone,500,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Lactams,554.592
499,Serratia odorifera,Cefotaxime,500,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Lactams,477.456
500,Serratia odorifera,Polymyxin,500,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,NC,2392.971
501,Serratia odorifera,Vancomycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,carboxylic acids,1449.271
502,Serratia odorifera,Erythromycin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Organooxygen compounds,733.937
503,Serratia odorifera,Nalidixic acid,500,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Diazanaphthalenes,232.239
504,Serratia odorifera,Rifampicin,500,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Macrolactams,822.953
505,Serratia odorifera,Tetracycline,500,21,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Tetracyclines,444.44
506,Serratia odorifera,Doxycycline,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Tetracyclines,462.455
507,Serratia odorifera,Chloramphenicol,500,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Benzene derivatives,323.132
508,Serratia odorifera,Nitrofurantoin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,Azolidines,238.159
509,Serratia odorifera,Trimethoprim,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia odorifera,n,0,0,0,30,1,soil,phenol ethers,290.323
510,Vibrio parahaemolyticus,Amikacin,500,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Organooxygen compounds,585.608
511,Vibrio parahaemolyticus,Gentamicin,500,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Aminoglycoside ,477.603
512,Vibrio parahaemolyticus,Kanamycin,500,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Organooxygen compounds,484.503
513,Vibrio parahaemolyticus,Streptomycin,500,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Organooxygen compounds,581.58
514,Vibrio parahaemolyticus,Amoxicillin,500,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Lactams,365.411
515,Vibrio parahaemolyticus,Ampicillin,500,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Organoheterocyclic compounds,349.412
516,Vibrio parahaemolyticus,Penicillin,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Carboxylic acids and derivatives,372.487
517,Vibrio parahaemolyticus,Piperacillin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Carboxylic acids and derivatives,517.564
518,Vibrio parahaemolyticus,Faropenem,500,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Carboxylic acids and derivatives,285.321
519,Vibrio parahaemolyticus,Ceftazidime,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Lactams,546.587
520,Vibrio parahaemolyticus,Ceftriaxone,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Lactams,554.592
521,Vibrio parahaemolyticus,Cefotaxime,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Lactams,477.456
522,Vibrio parahaemolyticus,Polymyxin,500,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,NC,2392.971
523,Vibrio parahaemolyticus,Vancomycin,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,carboxylic acids,1449.271
524,Vibrio parahaemolyticus,Erythromycin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Organooxygen compounds,733.937
525,Vibrio parahaemolyticus,Nalidixic acid,500,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Diazanaphthalenes,232.239
526,Vibrio parahaemolyticus,Rifampicin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Macrolactams,822.953
527,Vibrio parahaemolyticus,Tetracycline,500,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Tetracyclines,444.44
528,Vibrio parahaemolyticus,Doxycycline,500,28,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Tetracyclines,462.455
529,Vibrio parahaemolyticus,Chloramphenicol,500,21,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Benzene derivatives,323.132
530,Vibrio parahaemolyticus,Nitrofurantoin,500,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,Azolidines,238.159
531,Vibrio parahaemolyticus,Trimethoprim,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi group,n,8,16,24,30,2,water,phenol ethers,290.323
532,Bacillus subtilis,Amikacin,500,20,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organooxygen compounds,585.608
533,Bacillus subtilis,Gentamicin,500,20,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Aminoglycoside ,477.603
534,Bacillus subtilis,Kanamycin,500,23,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organooxygen compounds,484.503
535,Bacillus subtilis,Streptomycin,500,26,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organooxygen compounds,581.58
536,Bacillus subtilis,Amoxicillin,500,10,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Lactams,365.411
537,Bacillus subtilis,Ampicillin,500,20,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organoheterocyclic compounds,349.412
538,Bacillus subtilis,Penicillin,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Carboxylic acids and derivatives,372.487
539,Bacillus subtilis,Piperacillin,500,10,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Carboxylic acids and derivatives,517.564
540,Bacillus subtilis,Faropenem,500,34,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Carboxylic acids and derivatives,285.321
541,Bacillus subtilis,Ceftazidime,500,21,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Lactams,546.587
542,Bacillus subtilis,Ceftriaxone,500,14,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Lactams,554.592
543,Bacillus subtilis,Cefotaxime,500,15,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Lactams,477.456
544,Bacillus subtilis,Polymyxin,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,NC,2392.971
545,Bacillus subtilis,Vancomycin,500,24,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,carboxylic acids,1449.271
546,Bacillus subtilis,Erythromycin,500,19,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organooxygen compounds,733.937
547,Bacillus subtilis,Nalidixic acid,500,9,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Diazanaphthalenes,232.239
548,Bacillus subtilis,Rifampicin,500,16,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Macrolactams,822.953
549,Bacillus subtilis,Tetracycline,500,30,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Tetracyclines,444.44
550,Bacillus subtilis,Doxycycline,500,19,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Tetracyclines,462.455
551,Bacillus subtilis,Chloramphenicol,500,24,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Benzene derivatives,323.132
552,Bacillus subtilis,Nitrofurantoin,500,11,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Azolidines,238.159
553,Bacillus subtilis,Trimethoprim,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,phenol ethers,290.323
554,Pseudomonas koreensis,Amikacin,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Organooxygen compounds,585.608
555,Pseudomonas koreensis,Gentamicin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Aminoglycoside ,477.603
556,Pseudomonas koreensis,Kanamycin,500,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Organooxygen compounds,484.503
557,Pseudomonas koreensis,Streptomycin,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Organooxygen compounds,581.58
558,Pseudomonas koreensis,Amoxicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Lactams,365.411
559,Pseudomonas koreensis,Ampicillin,500,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Organoheterocyclic compounds,349.412
560,Pseudomonas koreensis,Penicillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Carboxylic acids and derivatives,372.487
561,Pseudomonas koreensis,Piperacillin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Carboxylic acids and derivatives,517.564
562,Pseudomonas koreensis,Faropenem,500,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Carboxylic acids and derivatives,285.321
563,Pseudomonas koreensis,Ceftazidime,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Lactams,546.587
564,Pseudomonas koreensis,Ceftriaxone,500,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Lactams,554.592
565,Pseudomonas koreensis,Cefotaxime,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Lactams,477.456
566,Pseudomonas koreensis,Polymyxin,500,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,NC,2392.971
567,Pseudomonas koreensis,Vancomycin,500,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,carboxylic acids,1449.271
568,Pseudomonas koreensis,Erythromycin,500,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Organooxygen compounds,733.937
569,Pseudomonas koreensis,Nalidixic acid,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Diazanaphthalenes,232.239
570,Pseudomonas koreensis,Rifampicin,500,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Macrolactams,822.953
571,Pseudomonas koreensis,Tetracycline,500,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Tetracyclines,444.44
572,Pseudomonas koreensis,Doxycycline,500,19,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Tetracyclines,462.455
573,Pseudomonas koreensis,Chloramphenicol,500,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Benzene derivatives,323.132
574,Pseudomonas koreensis,Nitrofurantoin,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,Azolidines,238.159
575,Pseudomonas koreensis,Trimethoprim,500,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens group,n,24,36,48,30,1,soil,phenol ethers,290.323
576,Staphylococcus aureus,Amikacin,500,11,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,585.608
